Running with width=2048, lr=0.00390625
----------------------------------
SLURM_JOB_NODELIST: jrc0196
MASTER_ADDR:MASTER_PORT=10.14.1.206:9469
----------------------------------
[2024-12-10 18:56:37,464] torch.distributed.run: [WARNING] master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
[2024-12-10 18:56:37,464] torch.distributed.run: [WARNING] 
[2024-12-10 18:56:37,464] torch.distributed.run: [WARNING] *****************************************
[2024-12-10 18:56:37,464] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-12-10 18:56:37,464] torch.distributed.run: [WARNING] *****************************************
[W socket.cpp:436] [c10d] The server socket cannot be initialized on [::]:9469 (errno: 97 - Address family not supported by protocol).
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0196i.jureca]:9469 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_2048_lr_0.00390625/
Overriding: n_head = 32
Overriding: n_embd = 2048
Overriding: learning_rate = 0.00390625
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0196.jureca]:42047 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_2048_lr_0.00390625/
Overriding: n_head = 32
Overriding: n_embd = 2048
Overriding: learning_rate = 0.00390625
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0196.jureca]:42047 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_2048_lr_0.00390625/
Overriding: n_head = 32
Overriding: n_embd = 2048
Overriding: learning_rate = 0.00390625
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0196.jureca]:42047 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_2048_lr_0.00390625/
Overriding: n_head = 32
Overriding: n_embd = 2048
Overriding: learning_rate = 0.00390625
[W socket.cpp:436] [c10d] The server socket cannot be initialized on [::]:42047 (errno: 97 - Address family not supported by protocol).
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0196.jureca]:42047 (errno: 97 - Address family not supported by protocol).
tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 491,520
tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 707.05M
number of parameters: 707.05M
number of parameters: 707.05M
num decayed parameter tensors: 50, with 709,099,520 parameters
num non-decayed parameter tensors: 25, with 51,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
num decayed parameter tensors: 50, with 709,099,520 parameters
num non-decayed parameter tensors: 25, with 51,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
num decayed parameter tensors: 50, with 709,099,520 parameters
num non-decayed parameter tensors: 25, with 51,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
number of parameters: 707.05M
num decayed parameter tensors: 50, with 709,099,520 parameters
num non-decayed parameter tensors: 25, with 51,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 11.1787, val loss 11.1779
iter_num=0: train_lossf=11.1482, dt=110.058s, mfu=0.00%, tokens_per_sec=4,466
iter_num=82: train_lossf=6.4770, dt=3.487s, mfu=54.55%, tokens_per_sec=140,949
iter_num=83: train_lossf=7.0215, dt=3.259s, mfu=54.59%, tokens_per_sec=150,798
iter_num=84: train_lossf=6.6209, dt=3.260s, mfu=54.62%, tokens_per_sec=150,788
iter_num=85: train_lossf=6.6021, dt=3.258s, mfu=54.65%, tokens_per_sec=150,876
iter_num=86: train_lossf=6.5890, dt=3.256s, mfu=54.68%, tokens_per_sec=150,944
iter_num=87: train_lossf=6.5689, dt=3.426s, mfu=54.44%, tokens_per_sec=143,458
iter_num=88: train_lossf=6.6157, dt=3.255s, mfu=54.49%, tokens_per_sec=151,015
iter_num=89: train_lossf=6.3913, dt=3.257s, mfu=54.54%, tokens_per_sec=150,922
iter_num=90: train_lossf=6.6089, dt=3.258s, mfu=54.58%, tokens_per_sec=150,847
iter_num=91: train_lossf=6.5954, dt=3.259s, mfu=54.61%, tokens_per_sec=150,819
iter_num=92: train_lossf=6.6771, dt=3.257s, mfu=54.65%, tokens_per_sec=150,931
iter_num=93: train_lossf=6.4754, dt=3.256s, mfu=54.68%, tokens_per_sec=150,980
iter_num=94: train_lossf=6.4515, dt=3.282s, mfu=54.66%, tokens_per_sec=149,741
iter_num=95: train_lossf=6.2168, dt=3.255s, mfu=54.70%, tokens_per_sec=151,006
iter_num=96: train_lossf=6.5062, dt=3.255s, mfu=54.72%, tokens_per_sec=151,010
iter_num=97: train_lossf=6.4198, dt=3.255s, mfu=54.75%, tokens_per_sec=150,992
iter_num=98: train_lossf=6.6066, dt=3.255s, mfu=54.77%, tokens_per_sec=151,007
iter_num=99: train_lossf=6.4164, dt=3.255s, mfu=54.80%, tokens_per_sec=151,017
iter_num=100: train_lossf=6.3687, dt=3.254s, mfu=54.82%, tokens_per_sec=151,070
iter_num=101: train_lossf=6.2211, dt=3.269s, mfu=54.81%, tokens_per_sec=150,357
iter_num=102: train_lossf=6.4500, dt=3.254s, mfu=54.83%, tokens_per_sec=151,068
iter_num=103: train_lossf=6.4176, dt=3.254s, mfu=54.85%, tokens_per_sec=151,030
iter_num=104: train_lossf=6.3017, dt=3.254s, mfu=54.86%, tokens_per_sec=151,031
iter_num=105: train_lossf=6.0023, dt=3.255s, mfu=54.87%, tokens_per_sec=150,985
iter_num=106: train_lossf=6.5856, dt=3.257s, mfu=54.88%, tokens_per_sec=150,900
iter_num=107: train_lossf=6.3311, dt=3.258s, mfu=54.88%, tokens_per_sec=150,851
iter_num=108: train_lossf=6.5349, dt=3.257s, mfu=54.89%, tokens_per_sec=150,911
iter_num=109: train_lossf=6.5034, dt=3.258s, mfu=54.90%, tokens_per_sec=150,882
iter_num=110: train_lossf=6.1204, dt=3.388s, mfu=54.69%, tokens_per_sec=145,073
iter_num=111: train_lossf=6.3967, dt=3.258s, mfu=54.71%, tokens_per_sec=150,881
iter_num=112: train_lossf=6.5051, dt=3.260s, mfu=54.73%, tokens_per_sec=150,761
iter_num=113: train_lossf=6.4394, dt=3.260s, mfu=54.75%, tokens_per_sec=150,753
iter_num=114: train_lossf=6.2633, dt=3.262s, mfu=54.76%, tokens_per_sec=150,678
iter_num=115: train_lossf=6.2425, dt=3.262s, mfu=54.77%, tokens_per_sec=150,671
iter_num=116: train_lossf=6.1815, dt=3.262s, mfu=54.78%, tokens_per_sec=150,680
iter_num=117: train_lossf=6.5512, dt=3.262s, mfu=54.79%, tokens_per_sec=150,670
iter_num=118: train_lossf=6.3658, dt=3.263s, mfu=54.80%, tokens_per_sec=150,649
iter_num=119: train_lossf=6.2709, dt=3.263s, mfu=54.80%, tokens_per_sec=150,632
iter_num=120: train_lossf=6.3041, dt=3.264s, mfu=54.80%, tokens_per_sec=150,611
iter_num=121: train_lossf=6.2142, dt=3.469s, mfu=54.48%, tokens_per_sec=141,670
iter_num=122: train_lossf=6.1649, dt=3.262s, mfu=54.52%, tokens_per_sec=150,682
iter_num=123: train_lossf=6.1903, dt=3.263s, mfu=54.55%, tokens_per_sec=150,653
iter_num=124: train_lossf=6.1214, dt=3.261s, mfu=54.59%, tokens_per_sec=150,739
iter_num=125: train_lossf=6.1347, dt=3.263s, mfu=54.61%, tokens_per_sec=150,639
iter_num=126: train_lossf=6.3422, dt=3.263s, mfu=54.64%, tokens_per_sec=150,625
iter_num=127: train_lossf=6.4416, dt=3.263s, mfu=54.66%, tokens_per_sec=150,626
iter_num=128: train_lossf=6.0118, dt=3.264s, mfu=54.68%, tokens_per_sec=150,606
iter_num=129: train_lossf=6.0886, dt=3.264s, mfu=54.69%, tokens_per_sec=150,580
iter_num=130: train_lossf=6.5470, dt=3.264s, mfu=54.71%, tokens_per_sec=150,582
iter_num=131: train_lossf=6.1207, dt=3.264s, mfu=54.72%, tokens_per_sec=150,609
iter_num=132: train_lossf=6.0820, dt=3.264s, mfu=54.73%, tokens_per_sec=150,594
iter_num=133: train_lossf=6.2589, dt=3.263s, mfu=54.74%, tokens_per_sec=150,630
iter_num=134: train_lossf=6.1295, dt=3.263s, mfu=54.75%, tokens_per_sec=150,652
iter_num=135: train_lossf=6.0235, dt=3.264s, mfu=54.76%, tokens_per_sec=150,588
iter_num=136: train_lossf=5.8515, dt=3.263s, mfu=54.77%, tokens_per_sec=150,641
iter_num=137: train_lossf=6.1618, dt=3.263s, mfu=54.78%, tokens_per_sec=150,649
iter_num=138: train_lossf=6.1623, dt=3.263s, mfu=54.79%, tokens_per_sec=150,651
iter_num=139: train_lossf=6.0552, dt=3.264s, mfu=54.79%, tokens_per_sec=150,596
iter_num=140: train_lossf=6.0264, dt=3.262s, mfu=54.80%, tokens_per_sec=150,669
iter_num=141: train_lossf=5.7963, dt=3.262s, mfu=54.81%, tokens_per_sec=150,694
iter_num=142: train_lossf=6.0370, dt=3.263s, mfu=54.81%, tokens_per_sec=150,657
iter_num=143: train_lossf=5.9796, dt=3.261s, mfu=54.82%, tokens_per_sec=150,711
iter_num=144: train_lossf=6.0986, dt=3.260s, mfu=54.83%, tokens_per_sec=150,777
iter_num=145: train_lossf=6.0196, dt=3.262s, mfu=54.83%, tokens_per_sec=150,684
iter_num=146: train_lossf=6.2193, dt=3.260s, mfu=54.84%, tokens_per_sec=150,778
iter_num=147: train_lossf=6.1120, dt=3.259s, mfu=54.85%, tokens_per_sec=150,840
iter_num=148: train_lossf=5.9275, dt=3.261s, mfu=54.85%, tokens_per_sec=150,726
iter_num=149: train_lossf=5.8827, dt=3.262s, mfu=54.85%, tokens_per_sec=150,690
iter_num=150: train_lossf=6.2453, dt=3.260s, mfu=54.86%, tokens_per_sec=150,793
iter_num=151: train_lossf=6.0581, dt=3.260s, mfu=54.86%, tokens_per_sec=150,765
iter_num=152: train_lossf=6.4024, dt=3.259s, mfu=54.87%, tokens_per_sec=150,810
iter_num=153: train_lossf=6.0279, dt=3.260s, mfu=54.87%, tokens_per_sec=150,794
iter_num=154: train_lossf=6.1012, dt=3.259s, mfu=54.88%, tokens_per_sec=150,805
iter_num=155: train_lossf=6.2531, dt=3.400s, mfu=54.65%, tokens_per_sec=144,582
iter_num=156: train_lossf=5.9424, dt=3.260s, mfu=54.68%, tokens_per_sec=150,794
iter_num=157: train_lossf=5.9689, dt=3.397s, mfu=54.48%, tokens_per_sec=144,686
iter_num=158: train_lossf=6.0657, dt=3.261s, mfu=54.52%, tokens_per_sec=150,729
iter_num=159: train_lossf=5.9598, dt=3.358s, mfu=54.40%, tokens_per_sec=146,358
iter_num=160: train_lossf=6.0463, dt=3.262s, mfu=54.44%, tokens_per_sec=150,700
iter_num=161: train_lossf=6.1267, dt=3.262s, mfu=54.49%, tokens_per_sec=150,678
iter_num=162: train_lossf=6.0376, dt=3.263s, mfu=54.52%, tokens_per_sec=150,653
iter_num=163: train_lossf=6.0949, dt=3.264s, mfu=54.56%, tokens_per_sec=150,604
iter_num=164: train_lossf=5.8885, dt=3.263s, mfu=54.58%, tokens_per_sec=150,616
iter_num=165: train_lossf=5.7659, dt=3.263s, mfu=54.61%, tokens_per_sec=150,641
iter_num=166: train_lossf=6.1015, dt=3.265s, mfu=54.63%, tokens_per_sec=150,540
iter_num=167: train_lossf=6.0084, dt=3.265s, mfu=54.65%, tokens_per_sec=150,544
iter_num=168: train_lossf=5.9282, dt=3.265s, mfu=54.67%, tokens_per_sec=150,549
iter_num=169: train_lossf=5.9376, dt=3.265s, mfu=54.68%, tokens_per_sec=150,564
iter_num=170: train_lossf=5.9373, dt=3.266s, mfu=54.69%, tokens_per_sec=150,497
iter_num=171: train_lossf=6.1010, dt=3.265s, mfu=54.71%, tokens_per_sec=150,521
iter_num=172: train_lossf=6.1850, dt=3.265s, mfu=54.72%, tokens_per_sec=150,540
iter_num=173: train_lossf=5.9717, dt=3.266s, mfu=54.73%, tokens_per_sec=150,509
iter_num=174: train_lossf=5.8098, dt=3.266s, mfu=54.73%, tokens_per_sec=150,493
iter_num=175: train_lossf=5.9023, dt=3.268s, mfu=54.74%, tokens_per_sec=150,416
iter_num=176: train_lossf=6.0085, dt=3.265s, mfu=54.74%, tokens_per_sec=150,524
iter_num=177: train_lossf=6.0915, dt=3.268s, mfu=54.75%, tokens_per_sec=150,411
iter_num=178: train_lossf=5.8576, dt=3.268s, mfu=54.75%, tokens_per_sec=150,387
iter_num=179: train_lossf=6.0942, dt=3.267s, mfu=54.75%, tokens_per_sec=150,445
iter_num=180: train_lossf=5.8912, dt=3.267s, mfu=54.75%, tokens_per_sec=150,459
iter_num=181: train_lossf=6.0984, dt=3.276s, mfu=54.74%, tokens_per_sec=150,040
iter_num=182: train_lossf=5.9861, dt=3.396s, mfu=54.54%, tokens_per_sec=144,746
iter_num=183: train_lossf=5.9038, dt=3.266s, mfu=54.56%, tokens_per_sec=150,488
iter_num=184: train_lossf=5.8388, dt=3.266s, mfu=54.59%, tokens_per_sec=150,494
iter_num=185: train_lossf=6.0764, dt=3.264s, mfu=54.61%, tokens_per_sec=150,581
iter_num=186: train_lossf=5.9254, dt=3.286s, mfu=54.60%, tokens_per_sec=149,591
iter_num=187: train_lossf=5.8406, dt=3.264s, mfu=54.62%, tokens_per_sec=150,607
iter_num=188: train_lossf=5.9139, dt=3.263s, mfu=54.65%, tokens_per_sec=150,653
iter_num=189: train_lossf=5.9342, dt=3.262s, mfu=54.67%, tokens_per_sec=150,664
iter_num=190: train_lossf=5.9157, dt=3.263s, mfu=54.69%, tokens_per_sec=150,620
iter_num=191: train_lossf=5.8780, dt=3.262s, mfu=54.70%, tokens_per_sec=150,681
iter_num=192: train_lossf=5.7681, dt=3.264s, mfu=54.72%, tokens_per_sec=150,608
iter_num=193: train_lossf=5.9393, dt=3.262s, mfu=54.73%, tokens_per_sec=150,695
iter_num=194: train_lossf=5.8451, dt=3.261s, mfu=54.75%, tokens_per_sec=150,718
iter_num=195: train_lossf=5.7411, dt=3.260s, mfu=54.76%, tokens_per_sec=150,772
iter_num=196: train_lossf=6.0945, dt=3.261s, mfu=54.77%, tokens_per_sec=150,725
iter_num=197: train_lossf=5.8897, dt=3.262s, mfu=54.78%, tokens_per_sec=150,667
iter_num=198: train_lossf=6.0156, dt=3.558s, mfu=54.33%, tokens_per_sec=138,130
iter_num=199: train_lossf=5.8461, dt=3.255s, mfu=54.40%, tokens_per_sec=151,001
iter_num=200: train_lossf=5.7034, dt=3.256s, mfu=54.46%, tokens_per_sec=150,949
iter_num=201: train_lossf=5.9234, dt=3.258s, mfu=54.50%, tokens_per_sec=150,848
iter_num=202: train_lossf=5.7280, dt=3.257s, mfu=54.55%, tokens_per_sec=150,933
iter_num=203: train_lossf=5.9662, dt=3.258s, mfu=54.59%, tokens_per_sec=150,873
iter_num=204: train_lossf=5.8835, dt=3.258s, mfu=54.62%, tokens_per_sec=150,863
iter_num=205: train_lossf=6.1128, dt=3.258s, mfu=54.65%, tokens_per_sec=150,856
iter_num=206: train_lossf=6.0365, dt=3.258s, mfu=54.68%, tokens_per_sec=150,848
iter_num=207: train_lossf=5.9339, dt=3.260s, mfu=54.70%, tokens_per_sec=150,780
iter_num=208: train_lossf=5.8624, dt=3.260s, mfu=54.72%, tokens_per_sec=150,765
iter_num=209: train_lossf=5.9848, dt=3.260s, mfu=54.74%, tokens_per_sec=150,781
iter_num=210: train_lossf=5.7491, dt=3.260s, mfu=54.76%, tokens_per_sec=150,783
iter_num=211: train_lossf=5.8386, dt=3.259s, mfu=54.77%, tokens_per_sec=150,831
iter_num=212: train_lossf=5.8917, dt=3.262s, mfu=54.78%, tokens_per_sec=150,686
iter_num=213: train_lossf=5.8991, dt=3.263s, mfu=54.79%, tokens_per_sec=150,642
iter_num=214: train_lossf=5.7428, dt=3.262s, mfu=54.80%, tokens_per_sec=150,693
iter_num=215: train_lossf=5.6880, dt=3.378s, mfu=54.62%, tokens_per_sec=145,523
iter_num=216: train_lossf=5.9805, dt=3.259s, mfu=54.65%, tokens_per_sec=150,805
iter_num=217: train_lossf=5.8868, dt=3.263s, mfu=54.67%, tokens_per_sec=150,649
iter_num=218: train_lossf=5.7553, dt=3.262s, mfu=54.69%, tokens_per_sec=150,679
