Running with width=1024, lr=0.00390625
----------------------------------
SLURM_JOB_NODELIST: jrc0332
MASTER_ADDR:MASTER_PORT=10.14.3.22:9469
----------------------------------
[2024-12-10 18:52:32,828] torch.distributed.run: [WARNING] master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
[2024-12-10 18:52:32,829] torch.distributed.run: [WARNING] 
[2024-12-10 18:52:32,829] torch.distributed.run: [WARNING] *****************************************
[2024-12-10 18:52:32,829] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-12-10 18:52:32,829] torch.distributed.run: [WARNING] *****************************************
[W socket.cpp:436] [c10d] The server socket cannot be initialized on [::]:9469 (errno: 97 - Address family not supported by protocol).
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0332i.jureca]:9469 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_1024_lr_0.00390625/
Overriding: n_head = 16
Overriding: n_embd = 1024
Overriding: learning_rate = 0.00390625
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0332.jureca]:37621 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_1024_lr_0.00390625/
Overriding: n_head = 16
Overriding: n_embd = 1024
Overriding: learning_rate = 0.00390625
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0332.jureca]:37621 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_1024_lr_0.00390625/
Overriding: n_head = 16
Overriding: n_embd = 1024
Overriding: learning_rate = 0.00390625
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0332.jureca]:37621 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_1024_lr_0.00390625/
Overriding: n_head = 16
Overriding: n_embd = 1024
Overriding: learning_rate = 0.00390625
[W socket.cpp:436] [c10d] The server socket cannot be initialized on [::]:37621 (errno: 97 - Address family not supported by protocol).
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0332.jureca]:37621 (errno: 97 - Address family not supported by protocol).
tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 491,520
tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 202.53M
number of parameters: 202.53M
number of parameters: 202.53M
number of parameters: 202.53M
num decayed parameter tensors: 50, with 203,554,816 parameters
num non-decayed parameter tensors: 25, with 25,600 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
num decayed parameter tensors: 50, with 203,554,816 parameters
num non-decayed parameter tensors: 25, with 25,600 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
num decayed parameter tensors: 50, with 203,554,816 parameters
num non-decayed parameter tensors: 25, with 25,600 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
num decayed parameter tensors: 50, with 203,554,816 parameters
num non-decayed parameter tensors: 25, with 25,600 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 10.9897, val loss 10.9901
iter_num=0: train_lossf=10.9685, dt=93.654s, mfu=0.00%, tokens_per_sec=5,248
iter_num=37: train_lossf=8.4132, dt=1.233s, mfu=44.67%, tokens_per_sec=398,669
iter_num=38: train_lossf=8.4275, dt=1.222s, mfu=44.61%, tokens_per_sec=402,124
iter_num=39: train_lossf=8.2813, dt=1.288s, mfu=44.33%, tokens_per_sec=381,735
iter_num=40: train_lossf=8.6825, dt=1.180s, mfu=44.45%, tokens_per_sec=416,367
iter_num=41: train_lossf=8.3254, dt=1.385s, mfu=43.89%, tokens_per_sec=354,866
iter_num=42: train_lossf=8.1630, dt=1.214s, mfu=43.93%, tokens_per_sec=404,807
iter_num=43: train_lossf=8.2598, dt=1.185s, mfu=44.08%, tokens_per_sec=414,640
iter_num=44: train_lossf=8.1411, dt=1.189s, mfu=44.20%, tokens_per_sec=413,227
iter_num=45: train_lossf=8.1048, dt=1.181s, mfu=44.33%, tokens_per_sec=416,224
iter_num=46: train_lossf=8.1426, dt=1.181s, mfu=44.45%, tokens_per_sec=416,170
iter_num=47: train_lossf=7.9763, dt=1.448s, mfu=43.72%, tokens_per_sec=339,413
iter_num=48: train_lossf=8.0196, dt=1.219s, mfu=43.77%, tokens_per_sec=403,135
iter_num=49: train_lossf=7.9657, dt=1.181s, mfu=43.94%, tokens_per_sec=416,138
iter_num=50: train_lossf=8.0487, dt=1.213s, mfu=43.99%, tokens_per_sec=405,246
iter_num=51: train_lossf=7.7600, dt=1.284s, mfu=43.78%, tokens_per_sec=382,742
iter_num=52: train_lossf=7.6947, dt=1.483s, mfu=43.03%, tokens_per_sec=331,345
iter_num=53: train_lossf=7.7472, dt=1.560s, mfu=42.17%, tokens_per_sec=315,020
iter_num=54: train_lossf=7.7709, dt=1.180s, mfu=42.51%, tokens_per_sec=416,395
iter_num=55: train_lossf=7.7049, dt=1.264s, mfu=42.52%, tokens_per_sec=388,776
iter_num=56: train_lossf=7.7946, dt=1.181s, mfu=42.82%, tokens_per_sec=416,237
iter_num=57: train_lossf=7.7772, dt=1.182s, mfu=43.09%, tokens_per_sec=415,958
iter_num=58: train_lossf=7.5630, dt=1.235s, mfu=43.14%, tokens_per_sec=397,902
iter_num=59: train_lossf=7.7605, dt=1.181s, mfu=43.38%, tokens_per_sec=416,085
iter_num=60: train_lossf=7.6840, dt=1.184s, mfu=43.59%, tokens_per_sec=415,257
iter_num=61: train_lossf=7.4175, dt=1.203s, mfu=43.70%, tokens_per_sec=408,688
iter_num=62: train_lossf=7.4551, dt=1.189s, mfu=43.86%, tokens_per_sec=413,283
iter_num=63: train_lossf=7.4168, dt=1.182s, mfu=44.02%, tokens_per_sec=415,895
iter_num=64: train_lossf=7.5810, dt=1.182s, mfu=44.17%, tokens_per_sec=415,714
iter_num=65: train_lossf=7.5950, dt=1.230s, mfu=44.13%, tokens_per_sec=399,529
iter_num=66: train_lossf=7.3021, dt=1.183s, mfu=44.27%, tokens_per_sec=415,556
iter_num=67: train_lossf=7.2622, dt=1.183s, mfu=44.39%, tokens_per_sec=415,616
iter_num=68: train_lossf=7.2532, dt=1.183s, mfu=44.50%, tokens_per_sec=415,424
iter_num=69: train_lossf=7.1179, dt=1.184s, mfu=44.59%, tokens_per_sec=415,160
iter_num=70: train_lossf=7.0096, dt=1.183s, mfu=44.68%, tokens_per_sec=415,451
iter_num=71: train_lossf=7.2193, dt=1.190s, mfu=44.73%, tokens_per_sec=412,887
iter_num=72: train_lossf=7.1827, dt=1.238s, mfu=44.60%, tokens_per_sec=396,867
iter_num=73: train_lossf=7.1202, dt=1.191s, mfu=44.66%, tokens_per_sec=412,551
iter_num=74: train_lossf=7.0376, dt=1.183s, mfu=44.74%, tokens_per_sec=415,477
iter_num=75: train_lossf=7.1471, dt=1.183s, mfu=44.82%, tokens_per_sec=415,397
iter_num=76: train_lossf=6.9087, dt=1.381s, mfu=44.23%, tokens_per_sec=356,010
iter_num=77: train_lossf=7.0730, dt=1.219s, mfu=44.22%, tokens_per_sec=403,111
iter_num=78: train_lossf=7.1488, dt=1.183s, mfu=44.35%, tokens_per_sec=415,494
iter_num=79: train_lossf=6.8882, dt=1.183s, mfu=44.46%, tokens_per_sec=415,459
iter_num=80: train_lossf=6.9670, dt=1.224s, mfu=44.41%, tokens_per_sec=401,716
iter_num=81: train_lossf=6.9894, dt=1.183s, mfu=44.52%, tokens_per_sec=415,340
iter_num=82: train_lossf=6.8127, dt=1.184s, mfu=44.61%, tokens_per_sec=415,246
iter_num=83: train_lossf=6.8275, dt=1.185s, mfu=44.69%, tokens_per_sec=414,673
iter_num=84: train_lossf=6.9953, dt=1.215s, mfu=44.65%, tokens_per_sec=404,686
iter_num=85: train_lossf=7.0846, dt=1.185s, mfu=44.73%, tokens_per_sec=414,893
iter_num=86: train_lossf=6.8039, dt=1.185s, mfu=44.80%, tokens_per_sec=414,875
iter_num=87: train_lossf=6.6776, dt=1.185s, mfu=44.86%, tokens_per_sec=414,882
iter_num=88: train_lossf=6.7777, dt=1.185s, mfu=44.91%, tokens_per_sec=414,722
iter_num=89: train_lossf=7.1004, dt=1.185s, mfu=44.96%, tokens_per_sec=414,912
iter_num=90: train_lossf=6.8932, dt=1.211s, mfu=44.91%, tokens_per_sec=405,859
iter_num=91: train_lossf=6.8087, dt=1.185s, mfu=44.96%, tokens_per_sec=414,619
iter_num=92: train_lossf=6.7647, dt=1.199s, mfu=44.95%, tokens_per_sec=409,927
iter_num=93: train_lossf=6.8950, dt=1.185s, mfu=44.99%, tokens_per_sec=414,713
iter_num=94: train_lossf=6.7137, dt=1.226s, mfu=44.88%, tokens_per_sec=400,915
iter_num=95: train_lossf=6.8486, dt=1.389s, mfu=44.27%, tokens_per_sec=353,751
iter_num=96: train_lossf=6.9716, dt=1.186s, mfu=44.38%, tokens_per_sec=414,336
iter_num=97: train_lossf=6.6610, dt=1.279s, mfu=44.15%, tokens_per_sec=384,291
iter_num=98: train_lossf=6.4167, dt=1.226s, mfu=44.12%, tokens_per_sec=401,068
iter_num=99: train_lossf=6.5391, dt=1.191s, mfu=44.23%, tokens_per_sec=412,650
iter_num=100: train_lossf=6.5862, dt=1.265s, mfu=44.06%, tokens_per_sec=388,608
iter_num=101: train_lossf=6.6050, dt=1.228s, mfu=44.03%, tokens_per_sec=400,140
iter_num=102: train_lossf=6.5479, dt=1.186s, mfu=44.17%, tokens_per_sec=414,401
iter_num=103: train_lossf=6.5098, dt=1.186s, mfu=44.29%, tokens_per_sec=414,412
iter_num=104: train_lossf=6.8059, dt=1.186s, mfu=44.39%, tokens_per_sec=414,306
iter_num=105: train_lossf=6.6396, dt=1.186s, mfu=44.49%, tokens_per_sec=414,576
iter_num=106: train_lossf=6.7589, dt=1.186s, mfu=44.58%, tokens_per_sec=414,425
iter_num=107: train_lossf=6.6486, dt=1.223s, mfu=44.52%, tokens_per_sec=402,053
iter_num=108: train_lossf=6.5706, dt=1.185s, mfu=44.61%, tokens_per_sec=414,662
iter_num=109: train_lossf=6.6680, dt=1.186s, mfu=44.68%, tokens_per_sec=414,349
iter_num=110: train_lossf=6.7475, dt=1.186s, mfu=44.75%, tokens_per_sec=414,351
iter_num=111: train_lossf=6.4575, dt=1.186s, mfu=44.81%, tokens_per_sec=414,276
iter_num=112: train_lossf=6.7472, dt=1.186s, mfu=44.87%, tokens_per_sec=414,307
iter_num=113: train_lossf=6.6262, dt=1.186s, mfu=44.91%, tokens_per_sec=414,272
iter_num=114: train_lossf=6.6591, dt=1.197s, mfu=44.92%, tokens_per_sec=410,566
iter_num=115: train_lossf=6.4156, dt=1.188s, mfu=44.96%, tokens_per_sec=413,840
iter_num=116: train_lossf=6.6750, dt=1.193s, mfu=44.97%, tokens_per_sec=411,876
iter_num=117: train_lossf=6.2118, dt=1.188s, mfu=45.00%, tokens_per_sec=413,644
iter_num=118: train_lossf=6.2803, dt=1.188s, mfu=45.03%, tokens_per_sec=413,620
iter_num=119: train_lossf=6.5628, dt=1.188s, mfu=45.05%, tokens_per_sec=413,673
iter_num=120: train_lossf=6.5570, dt=1.188s, mfu=45.08%, tokens_per_sec=413,579
iter_num=121: train_lossf=6.7118, dt=1.188s, mfu=45.10%, tokens_per_sec=413,579
iter_num=122: train_lossf=6.3951, dt=1.188s, mfu=45.12%, tokens_per_sec=413,745
iter_num=123: train_lossf=6.6148, dt=1.193s, mfu=45.11%, tokens_per_sec=411,847
iter_num=124: train_lossf=6.3427, dt=1.188s, mfu=45.13%, tokens_per_sec=413,631
iter_num=125: train_lossf=6.5359, dt=1.188s, mfu=45.14%, tokens_per_sec=413,617
iter_num=126: train_lossf=6.4370, dt=1.189s, mfu=45.16%, tokens_per_sec=413,470
iter_num=127: train_lossf=6.4673, dt=1.188s, mfu=45.17%, tokens_per_sec=413,721
iter_num=128: train_lossf=6.6289, dt=1.191s, mfu=45.17%, tokens_per_sec=412,554
iter_num=129: train_lossf=6.4517, dt=1.227s, mfu=45.04%, tokens_per_sec=400,714
iter_num=130: train_lossf=6.2986, dt=1.224s, mfu=44.93%, tokens_per_sec=401,665
iter_num=131: train_lossf=6.3277, dt=1.201s, mfu=44.92%, tokens_per_sec=409,367
iter_num=132: train_lossf=6.4925, dt=1.277s, mfu=44.64%, tokens_per_sec=384,971
iter_num=133: train_lossf=6.2339, dt=1.188s, mfu=44.71%, tokens_per_sec=413,720
iter_num=134: train_lossf=6.5478, dt=1.188s, mfu=44.76%, tokens_per_sec=413,613
iter_num=135: train_lossf=6.1650, dt=1.193s, mfu=44.80%, tokens_per_sec=412,175
iter_num=136: train_lossf=6.5025, dt=1.189s, mfu=44.85%, tokens_per_sec=413,452
iter_num=137: train_lossf=6.2468, dt=1.188s, mfu=44.89%, tokens_per_sec=413,663
iter_num=138: train_lossf=6.2681, dt=1.399s, mfu=44.25%, tokens_per_sec=351,403
iter_num=139: train_lossf=6.2234, dt=1.373s, mfu=43.74%, tokens_per_sec=358,119
iter_num=140: train_lossf=5.9818, dt=1.189s, mfu=43.89%, tokens_per_sec=413,294
iter_num=141: train_lossf=6.3673, dt=1.189s, mfu=44.03%, tokens_per_sec=413,546
iter_num=142: train_lossf=6.3870, dt=1.189s, mfu=44.15%, tokens_per_sec=413,493
iter_num=143: train_lossf=6.0710, dt=1.379s, mfu=43.64%, tokens_per_sec=356,362
iter_num=144: train_lossf=6.2897, dt=1.198s, mfu=43.77%, tokens_per_sec=410,265
iter_num=145: train_lossf=6.2051, dt=1.225s, mfu=43.78%, tokens_per_sec=401,389
iter_num=146: train_lossf=6.4591, dt=1.188s, mfu=43.93%, tokens_per_sec=413,579
iter_num=147: train_lossf=5.9780, dt=1.190s, mfu=44.06%, tokens_per_sec=413,010
iter_num=148: train_lossf=6.0691, dt=1.188s, mfu=44.18%, tokens_per_sec=413,602
iter_num=149: train_lossf=6.6958, dt=1.324s, mfu=43.83%, tokens_per_sec=371,222
iter_num=150: train_lossf=6.5237, dt=1.188s, mfu=43.98%, tokens_per_sec=413,766
iter_num=151: train_lossf=6.1228, dt=1.189s, mfu=44.10%, tokens_per_sec=413,457
iter_num=152: train_lossf=6.1808, dt=1.366s, mfu=43.63%, tokens_per_sec=359,928
iter_num=153: train_lossf=6.1361, dt=1.192s, mfu=43.79%, tokens_per_sec=412,517
iter_num=154: train_lossf=6.3436, dt=1.310s, mfu=43.51%, tokens_per_sec=375,130
iter_num=155: train_lossf=6.1543, dt=1.189s, mfu=43.69%, tokens_per_sec=413,496
iter_num=156: train_lossf=6.1466, dt=1.188s, mfu=43.85%, tokens_per_sec=413,644
iter_num=157: train_lossf=6.0169, dt=1.379s, mfu=43.37%, tokens_per_sec=356,475
iter_num=158: train_lossf=6.2853, dt=1.188s, mfu=43.56%, tokens_per_sec=413,906
iter_num=159: train_lossf=6.0568, dt=1.188s, mfu=43.73%, tokens_per_sec=413,810
iter_num=160: train_lossf=6.4187, dt=1.188s, mfu=43.89%, tokens_per_sec=413,887
iter_num=161: train_lossf=6.0806, dt=1.229s, mfu=43.88%, tokens_per_sec=399,814
iter_num=162: train_lossf=6.0881, dt=1.187s, mfu=44.02%, tokens_per_sec=413,953
iter_num=163: train_lossf=6.0782, dt=1.187s, mfu=44.15%, tokens_per_sec=414,040
iter_num=164: train_lossf=6.1918, dt=1.188s, mfu=44.27%, tokens_per_sec=413,720
iter_num=165: train_lossf=6.2193, dt=1.187s, mfu=44.37%, tokens_per_sec=414,012
iter_num=166: train_lossf=6.1001, dt=1.189s, mfu=44.46%, tokens_per_sec=413,252
iter_num=167: train_lossf=5.9787, dt=1.188s, mfu=44.54%, tokens_per_sec=413,904
iter_num=168: train_lossf=6.0667, dt=1.188s, mfu=44.62%, tokens_per_sec=413,825
iter_num=169: train_lossf=6.1170, dt=1.189s, mfu=44.68%, tokens_per_sec=413,535
iter_num=170: train_lossf=5.9156, dt=1.253s, mfu=44.51%, tokens_per_sec=392,304
iter_num=171: train_lossf=6.1659, dt=1.194s, mfu=44.57%, tokens_per_sec=411,752
iter_num=172: train_lossf=5.9653, dt=1.198s, mfu=44.60%, tokens_per_sec=410,339
iter_num=173: train_lossf=5.9545, dt=1.187s, mfu=44.67%, tokens_per_sec=413,925
iter_num=174: train_lossf=6.2005, dt=1.188s, mfu=44.74%, tokens_per_sec=413,866
iter_num=175: train_lossf=6.1238, dt=1.223s, mfu=44.66%, tokens_per_sec=401,920
iter_num=176: train_lossf=6.0581, dt=1.187s, mfu=44.73%, tokens_per_sec=414,027
iter_num=177: train_lossf=6.3205, dt=1.187s, mfu=44.79%, tokens_per_sec=413,987
iter_num=178: train_lossf=6.0994, dt=1.188s, mfu=44.84%, tokens_per_sec=413,808
iter_num=179: train_lossf=6.1884, dt=1.187s, mfu=44.89%, tokens_per_sec=414,077
iter_num=180: train_lossf=6.2997, dt=1.297s, mfu=44.55%, tokens_per_sec=378,870
iter_num=181: train_lossf=6.0065, dt=1.227s, mfu=44.48%, tokens_per_sec=400,748
iter_num=182: train_lossf=6.1866, dt=1.233s, mfu=44.40%, tokens_per_sec=398,673
iter_num=183: train_lossf=6.3001, dt=1.225s, mfu=44.35%, tokens_per_sec=401,380
iter_num=184: train_lossf=6.2477, dt=1.187s, mfu=44.45%, tokens_per_sec=414,037
iter_num=185: train_lossf=6.1177, dt=1.188s, mfu=44.53%, tokens_per_sec=413,643
iter_num=186: train_lossf=5.9937, dt=1.187s, mfu=44.61%, tokens_per_sec=414,210
iter_num=187: train_lossf=6.3643, dt=1.187s, mfu=44.68%, tokens_per_sec=414,184
iter_num=188: train_lossf=6.1156, dt=1.216s, mfu=44.64%, tokens_per_sec=404,094
iter_num=189: train_lossf=6.0822, dt=1.216s, mfu=44.60%, tokens_per_sec=404,181
iter_num=190: train_lossf=6.0203, dt=1.187s, mfu=44.67%, tokens_per_sec=414,172
iter_num=191: train_lossf=6.0574, dt=1.187s, mfu=44.74%, tokens_per_sec=414,055
iter_num=192: train_lossf=6.1897, dt=1.202s, mfu=44.74%, tokens_per_sec=408,885
iter_num=193: train_lossf=6.1272, dt=1.186s, mfu=44.80%, tokens_per_sec=414,299
iter_num=194: train_lossf=5.9416, dt=1.186s, mfu=44.86%, tokens_per_sec=414,429
iter_num=195: train_lossf=5.9498, dt=1.420s, mfu=44.16%, tokens_per_sec=346,059
iter_num=196: train_lossf=5.8792, dt=1.572s, mfu=43.17%, tokens_per_sec=312,653
iter_num=197: train_lossf=5.8659, dt=1.185s, mfu=43.39%, tokens_per_sec=414,852
iter_num=198: train_lossf=5.9422, dt=1.211s, mfu=43.50%, tokens_per_sec=405,800
iter_num=199: train_lossf=5.8546, dt=1.298s, mfu=43.29%, tokens_per_sec=378,717
iter_num=200: train_lossf=6.0068, dt=1.242s, mfu=43.30%, tokens_per_sec=395,783
iter_num=201: train_lossf=5.9411, dt=1.242s, mfu=43.30%, tokens_per_sec=395,777
iter_num=202: train_lossf=6.1150, dt=1.187s, mfu=43.50%, tokens_per_sec=414,078
iter_num=203: train_lossf=6.0505, dt=1.185s, mfu=43.69%, tokens_per_sec=414,784
iter_num=204: train_lossf=6.0309, dt=1.186s, mfu=43.86%, tokens_per_sec=414,520
iter_num=205: train_lossf=6.0021, dt=1.264s, mfu=43.73%, tokens_per_sec=388,759
iter_num=206: train_lossf=5.9301, dt=1.209s, mfu=43.81%, tokens_per_sec=406,476
iter_num=207: train_lossf=5.9922, dt=1.226s, mfu=43.81%, tokens_per_sec=400,777
iter_num=208: train_lossf=6.0014, dt=1.187s, mfu=43.96%, tokens_per_sec=413,978
iter_num=209: train_lossf=5.9719, dt=1.185s, mfu=44.11%, tokens_per_sec=414,865
iter_num=210: train_lossf=5.9468, dt=1.298s, mfu=43.84%, tokens_per_sec=378,743
iter_num=211: train_lossf=5.7466, dt=1.232s, mfu=43.83%, tokens_per_sec=398,891
iter_num=212: train_lossf=5.9262, dt=1.241s, mfu=43.78%, tokens_per_sec=396,024
iter_num=213: train_lossf=5.9001, dt=1.185s, mfu=43.94%, tokens_per_sec=414,736
iter_num=214: train_lossf=6.0573, dt=1.185s, mfu=44.09%, tokens_per_sec=414,702
iter_num=215: train_lossf=5.8184, dt=1.217s, mfu=44.10%, tokens_per_sec=403,848
iter_num=216: train_lossf=5.9559, dt=1.185s, mfu=44.23%, tokens_per_sec=414,758
iter_num=217: train_lossf=5.7855, dt=1.191s, mfu=44.32%, tokens_per_sec=412,534
iter_num=218: train_lossf=6.0475, dt=1.185s, mfu=44.43%, tokens_per_sec=414,682
