Running with width=512, lr=0.00390625
----------------------------------
SLURM_JOB_NODELIST: jrc0329
MASTER_ADDR:MASTER_PORT=10.14.3.19:9469
----------------------------------
[2024-12-10 18:52:33,838] torch.distributed.run: [WARNING] master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
[2024-12-10 18:52:33,838] torch.distributed.run: [WARNING] 
[2024-12-10 18:52:33,838] torch.distributed.run: [WARNING] *****************************************
[2024-12-10 18:52:33,838] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-12-10 18:52:33,838] torch.distributed.run: [WARNING] *****************************************
[W socket.cpp:436] [c10d] The server socket cannot be initialized on [::]:9469 (errno: 97 - Address family not supported by protocol).
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0329i.jureca]:9469 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_512_lr_0.00390625/
Overriding: n_head = 8
Overriding: n_embd = 512
Overriding: learning_rate = 0.00390625
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0329.jureca]:39221 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_512_lr_0.00390625/
Overriding: n_head = 8
Overriding: n_embd = 512
Overriding: learning_rate = 0.00390625
[W socket.cpp:436] [c10d] The server socket cannot be initialized on [::]:39221 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_512_lr_0.00390625/
Overriding: n_head = 8
Overriding: n_embd = 512
Overriding: learning_rate = 0.00390625
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0329.jureca]:39221 (errno: 97 - Address family not supported by protocol).
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0329.jureca]:39221 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_512_lr_0.00390625/
Overriding: n_head = 8
Overriding: n_embd = 512
Overriding: learning_rate = 0.00390625
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0329.jureca]:39221 (errno: 97 - Address family not supported by protocol).
tokens per iteration will be: 491,520tokens per iteration will be: 491,520

Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 63.52M
number of parameters: 63.52M
num decayed parameter tensors: 50, with 64,028,672 parameters
num non-decayed parameter tensors: 25, with 12,800 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
num decayed parameter tensors: 50, with 64,028,672 parameters
num non-decayed parameter tensors: 25, with 12,800 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
number of parameters: 63.52M
number of parameters: 63.52M
num decayed parameter tensors: 50, with 64,028,672 parameters
num non-decayed parameter tensors: 25, with 12,800 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
num decayed parameter tensors: 50, with 64,028,672 parameters
num non-decayed parameter tensors: 25, with 12,800 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 10.8806, val loss 10.8805
iter_num=0: train_lossf=10.8783, dt=86.388s, mfu=0.00%, tokens_per_sec=5,690
iter_num=37: train_lossf=9.4724, dt=0.573s, mfu=30.76%, tokens_per_sec=857,632
iter_num=38: train_lossf=9.5111, dt=0.573s, mfu=30.82%, tokens_per_sec=857,089
iter_num=39: train_lossf=9.4380, dt=0.567s, mfu=30.91%, tokens_per_sec=866,458
iter_num=40: train_lossf=9.4844, dt=1.055s, mfu=29.52%, tokens_per_sec=465,898
iter_num=41: train_lossf=9.3702, dt=0.576s, mfu=29.69%, tokens_per_sec=853,588
iter_num=42: train_lossf=9.3661, dt=0.565s, mfu=29.91%, tokens_per_sec=870,364
iter_num=43: train_lossf=9.1769, dt=0.560s, mfu=30.13%, tokens_per_sec=878,447
iter_num=44: train_lossf=9.2495, dt=0.577s, mfu=30.24%, tokens_per_sec=851,768
iter_num=45: train_lossf=9.3586, dt=0.569s, mfu=30.37%, tokens_per_sec=864,097
iter_num=46: train_lossf=9.1953, dt=0.766s, mfu=29.68%, tokens_per_sec=641,792
iter_num=47: train_lossf=9.2315, dt=0.709s, mfu=29.25%, tokens_per_sec=693,212
iter_num=48: train_lossf=9.2578, dt=0.577s, mfu=29.45%, tokens_per_sec=852,441
iter_num=49: train_lossf=9.0838, dt=0.563s, mfu=29.70%, tokens_per_sec=873,321
iter_num=50: train_lossf=9.0150, dt=0.564s, mfu=29.91%, tokens_per_sec=870,868
iter_num=51: train_lossf=9.0946, dt=0.559s, mfu=30.14%, tokens_per_sec=879,482
iter_num=52: train_lossf=9.1360, dt=0.698s, mfu=29.70%, tokens_per_sec=704,179
iter_num=53: train_lossf=9.0521, dt=0.584s, mfu=29.81%, tokens_per_sec=842,113
iter_num=54: train_lossf=8.8994, dt=0.560s, mfu=30.04%, tokens_per_sec=878,220
iter_num=55: train_lossf=9.0454, dt=0.570s, mfu=30.20%, tokens_per_sec=862,765
iter_num=56: train_lossf=8.8599, dt=0.564s, mfu=30.36%, tokens_per_sec=871,096
iter_num=57: train_lossf=8.9170, dt=0.569s, mfu=30.49%, tokens_per_sec=863,536
iter_num=58: train_lossf=8.8957, dt=0.557s, mfu=30.67%, tokens_per_sec=882,072
iter_num=59: train_lossf=8.7309, dt=0.563s, mfu=30.79%, tokens_per_sec=872,557
iter_num=60: train_lossf=9.0172, dt=0.575s, mfu=30.84%, tokens_per_sec=855,020
iter_num=61: train_lossf=8.7014, dt=0.566s, mfu=30.94%, tokens_per_sec=868,863
iter_num=62: train_lossf=8.7730, dt=0.567s, mfu=31.02%, tokens_per_sec=867,533
iter_num=63: train_lossf=8.6744, dt=0.567s, mfu=31.09%, tokens_per_sec=867,447
iter_num=64: train_lossf=8.6793, dt=0.567s, mfu=31.15%, tokens_per_sec=866,899
iter_num=65: train_lossf=8.6582, dt=0.563s, mfu=31.23%, tokens_per_sec=872,596
iter_num=66: train_lossf=8.5886, dt=0.574s, mfu=31.24%, tokens_per_sec=856,874
iter_num=67: train_lossf=8.4826, dt=0.714s, mfu=30.64%, tokens_per_sec=688,497
iter_num=68: train_lossf=8.6080, dt=0.575s, mfu=30.70%, tokens_per_sec=854,153
iter_num=69: train_lossf=8.6372, dt=0.735s, mfu=30.07%, tokens_per_sec=668,866
iter_num=70: train_lossf=8.4816, dt=0.891s, mfu=29.08%, tokens_per_sec=551,575
iter_num=71: train_lossf=8.5289, dt=0.702s, mfu=28.74%, tokens_per_sec=700,263
iter_num=72: train_lossf=8.3845, dt=0.568s, mfu=29.03%, tokens_per_sec=864,681
iter_num=73: train_lossf=8.3916, dt=0.579s, mfu=29.23%, tokens_per_sec=849,506
iter_num=74: train_lossf=8.3593, dt=0.572s, mfu=29.45%, tokens_per_sec=859,363
iter_num=75: train_lossf=8.3022, dt=0.581s, mfu=29.60%, tokens_per_sec=845,445
iter_num=76: train_lossf=8.0628, dt=0.579s, mfu=29.75%, tokens_per_sec=848,351
iter_num=77: train_lossf=8.3129, dt=0.871s, mfu=28.84%, tokens_per_sec=564,230
iter_num=78: train_lossf=8.1167, dt=0.744s, mfu=28.37%, tokens_per_sec=660,469
iter_num=79: train_lossf=8.1686, dt=0.557s, mfu=28.76%, tokens_per_sec=881,750
iter_num=80: train_lossf=8.1581, dt=0.560s, mfu=29.09%, tokens_per_sec=877,497
iter_num=81: train_lossf=7.9575, dt=0.568s, mfu=29.35%, tokens_per_sec=865,230
iter_num=82: train_lossf=8.1700, dt=0.566s, mfu=29.59%, tokens_per_sec=867,922
iter_num=83: train_lossf=7.9865, dt=0.712s, mfu=29.16%, tokens_per_sec=690,096
iter_num=84: train_lossf=7.9715, dt=0.599s, mfu=29.24%, tokens_per_sec=820,320
iter_num=85: train_lossf=7.9252, dt=0.953s, mfu=28.20%, tokens_per_sec=515,994
iter_num=86: train_lossf=7.9835, dt=0.570s, mfu=28.54%, tokens_per_sec=862,524
iter_num=87: train_lossf=7.9265, dt=0.779s, mfu=27.99%, tokens_per_sec=630,566
iter_num=88: train_lossf=7.9047, dt=0.776s, mfu=27.51%, tokens_per_sec=633,620
iter_num=89: train_lossf=8.0189, dt=0.719s, mfu=27.26%, tokens_per_sec=683,583
iter_num=90: train_lossf=7.7951, dt=0.558s, mfu=27.76%, tokens_per_sec=881,066
iter_num=91: train_lossf=7.7686, dt=0.576s, mfu=28.10%, tokens_per_sec=853,101
iter_num=92: train_lossf=7.6543, dt=0.914s, mfu=27.26%, tokens_per_sec=537,684
iter_num=93: train_lossf=7.6244, dt=0.566s, mfu=27.71%, tokens_per_sec=868,127
iter_num=94: train_lossf=7.7246, dt=0.568s, mfu=28.11%, tokens_per_sec=865,916
iter_num=95: train_lossf=7.5105, dt=0.566s, mfu=28.48%, tokens_per_sec=869,005
iter_num=96: train_lossf=7.5210, dt=0.717s, mfu=28.14%, tokens_per_sec=685,632
iter_num=97: train_lossf=7.3669, dt=0.568s, mfu=28.49%, tokens_per_sec=865,511
iter_num=98: train_lossf=7.8660, dt=0.577s, mfu=28.76%, tokens_per_sec=851,194
iter_num=99: train_lossf=7.5533, dt=0.585s, mfu=28.95%, tokens_per_sec=840,107
iter_num=100: train_lossf=7.4527, dt=0.702s, mfu=28.62%, tokens_per_sec=700,147
iter_num=101: train_lossf=7.4625, dt=0.565s, mfu=28.94%, tokens_per_sec=869,340
iter_num=102: train_lossf=7.8049, dt=0.563s, mfu=29.24%, tokens_per_sec=872,720
iter_num=103: train_lossf=7.4141, dt=0.632s, mfu=29.16%, tokens_per_sec=777,159
iter_num=104: train_lossf=7.4508, dt=0.563s, mfu=29.43%, tokens_per_sec=872,464
iter_num=105: train_lossf=7.3006, dt=0.585s, mfu=29.57%, tokens_per_sec=840,448
iter_num=106: train_lossf=7.3647, dt=0.586s, mfu=29.68%, tokens_per_sec=839,456
iter_num=107: train_lossf=7.5720, dt=0.569s, mfu=29.87%, tokens_per_sec=863,938
iter_num=108: train_lossf=7.2911, dt=0.594s, mfu=29.91%, tokens_per_sec=827,861
iter_num=109: train_lossf=7.1813, dt=0.713s, mfu=29.44%, tokens_per_sec=689,096
iter_num=110: train_lossf=7.2220, dt=0.574s, mfu=29.63%, tokens_per_sec=855,663
iter_num=111: train_lossf=7.4341, dt=0.734s, mfu=29.12%, tokens_per_sec=669,720
iter_num=112: train_lossf=7.4638, dt=0.743s, mfu=28.63%, tokens_per_sec=661,835
iter_num=113: train_lossf=7.2012, dt=0.772s, mfu=28.09%, tokens_per_sec=636,855
iter_num=114: train_lossf=7.1884, dt=0.912s, mfu=27.26%, tokens_per_sec=538,788
iter_num=115: train_lossf=7.1617, dt=0.566s, mfu=27.71%, tokens_per_sec=867,681
iter_num=116: train_lossf=7.2144, dt=0.642s, mfu=27.73%, tokens_per_sec=765,055
iter_num=117: train_lossf=7.2492, dt=0.731s, mfu=27.42%, tokens_per_sec=672,285
iter_num=118: train_lossf=7.1701, dt=0.568s, mfu=27.85%, tokens_per_sec=865,785
iter_num=119: train_lossf=7.1517, dt=0.576s, mfu=28.18%, tokens_per_sec=852,740
iter_num=120: train_lossf=7.2747, dt=0.579s, mfu=28.47%, tokens_per_sec=849,322
iter_num=121: train_lossf=6.9904, dt=0.571s, mfu=28.77%, tokens_per_sec=860,172
iter_num=122: train_lossf=7.3881, dt=0.576s, mfu=29.01%, tokens_per_sec=852,753
iter_num=123: train_lossf=6.8299, dt=0.572s, mfu=29.25%, tokens_per_sec=858,836
iter_num=124: train_lossf=6.9958, dt=0.562s, mfu=29.53%, tokens_per_sec=875,335
iter_num=125: train_lossf=6.9390, dt=0.571s, mfu=29.73%, tokens_per_sec=861,208
iter_num=126: train_lossf=6.8056, dt=0.562s, mfu=29.96%, tokens_per_sec=874,675
iter_num=127: train_lossf=6.7459, dt=0.574s, mfu=30.09%, tokens_per_sec=856,419
iter_num=128: train_lossf=6.9280, dt=0.578s, mfu=30.20%, tokens_per_sec=850,432
iter_num=129: train_lossf=6.8246, dt=0.575s, mfu=30.30%, tokens_per_sec=854,310
iter_num=130: train_lossf=6.8654, dt=0.569s, mfu=30.43%, tokens_per_sec=864,159
iter_num=131: train_lossf=6.7364, dt=0.570s, mfu=30.54%, tokens_per_sec=862,278
iter_num=132: train_lossf=6.8514, dt=0.586s, mfu=30.56%, tokens_per_sec=839,154
iter_num=133: train_lossf=6.8231, dt=0.574s, mfu=30.64%, tokens_per_sec=855,898
iter_num=134: train_lossf=6.9773, dt=0.562s, mfu=30.77%, tokens_per_sec=875,076
iter_num=135: train_lossf=6.6913, dt=0.577s, mfu=30.81%, tokens_per_sec=851,538
iter_num=136: train_lossf=6.8538, dt=0.566s, mfu=30.91%, tokens_per_sec=869,043
iter_num=137: train_lossf=6.7145, dt=0.571s, mfu=30.97%, tokens_per_sec=860,454
iter_num=138: train_lossf=6.8281, dt=0.570s, mfu=31.02%, tokens_per_sec=862,018
iter_num=139: train_lossf=6.7449, dt=0.560s, mfu=31.13%, tokens_per_sec=877,445
iter_num=140: train_lossf=6.6603, dt=0.569s, mfu=31.18%, tokens_per_sec=863,588
iter_num=141: train_lossf=6.9047, dt=0.750s, mfu=30.46%, tokens_per_sec=654,958
iter_num=142: train_lossf=6.8144, dt=0.721s, mfu=29.90%, tokens_per_sec=681,452
iter_num=143: train_lossf=6.6254, dt=0.722s, mfu=29.40%, tokens_per_sec=680,527
iter_num=144: train_lossf=6.7047, dt=0.560s, mfu=29.68%, tokens_per_sec=878,430
iter_num=145: train_lossf=6.7335, dt=0.735s, mfu=29.16%, tokens_per_sec=668,849
iter_num=146: train_lossf=6.7108, dt=0.570s, mfu=29.40%, tokens_per_sec=862,224
iter_num=147: train_lossf=6.7948, dt=0.574s, mfu=29.59%, tokens_per_sec=856,608
iter_num=148: train_lossf=6.7470, dt=0.564s, mfu=29.82%, tokens_per_sec=871,373
iter_num=149: train_lossf=6.7548, dt=0.564s, mfu=30.03%, tokens_per_sec=871,649
iter_num=150: train_lossf=6.4832, dt=0.570s, mfu=30.18%, tokens_per_sec=861,774
iter_num=151: train_lossf=6.6738, dt=0.564s, mfu=30.35%, tokens_per_sec=871,571
iter_num=152: train_lossf=6.8571, dt=0.572s, mfu=30.46%, tokens_per_sec=859,221
iter_num=153: train_lossf=6.4564, dt=0.568s, mfu=30.58%, tokens_per_sec=865,137
iter_num=154: train_lossf=6.4800, dt=0.719s, mfu=30.02%, tokens_per_sec=683,427
iter_num=155: train_lossf=6.5828, dt=0.569s, mfu=30.18%, tokens_per_sec=864,023
iter_num=156: train_lossf=6.5752, dt=0.702s, mfu=29.72%, tokens_per_sec=699,885
iter_num=157: train_lossf=6.4395, dt=0.560s, mfu=29.96%, tokens_per_sec=877,079
iter_num=158: train_lossf=6.4740, dt=0.622s, mfu=29.85%, tokens_per_sec=789,597
iter_num=159: train_lossf=6.3481, dt=0.871s, mfu=28.93%, tokens_per_sec=564,574
iter_num=160: train_lossf=6.7168, dt=0.558s, mfu=29.26%, tokens_per_sec=881,092
iter_num=161: train_lossf=6.7696, dt=0.572s, mfu=29.48%, tokens_per_sec=859,746
iter_num=162: train_lossf=6.4605, dt=0.704s, mfu=29.09%, tokens_per_sec=698,612
iter_num=163: train_lossf=6.5443, dt=0.573s, mfu=29.32%, tokens_per_sec=857,720
iter_num=164: train_lossf=6.3836, dt=0.714s, mfu=28.90%, tokens_per_sec=688,289
iter_num=165: train_lossf=6.2980, dt=0.567s, mfu=29.19%, tokens_per_sec=866,962
iter_num=166: train_lossf=6.5337, dt=0.718s, mfu=28.77%, tokens_per_sec=684,352
iter_num=167: train_lossf=6.5109, dt=0.741s, mfu=28.32%, tokens_per_sec=663,095
iter_num=168: train_lossf=6.5173, dt=0.564s, mfu=28.67%, tokens_per_sec=870,797
iter_num=169: train_lossf=6.5823, dt=0.556s, mfu=29.04%, tokens_per_sec=883,875
iter_num=170: train_lossf=6.5775, dt=0.571s, mfu=29.28%, tokens_per_sec=860,164
iter_num=171: train_lossf=6.5476, dt=0.572s, mfu=29.50%, tokens_per_sec=858,767
iter_num=172: train_lossf=6.4985, dt=0.569s, mfu=29.71%, tokens_per_sec=864,195
iter_num=173: train_lossf=6.5584, dt=0.569s, mfu=29.90%, tokens_per_sec=863,788
iter_num=174: train_lossf=6.5434, dt=0.572s, mfu=30.05%, tokens_per_sec=859,638
iter_num=175: train_lossf=6.4167, dt=0.582s, mfu=30.14%, tokens_per_sec=843,928
iter_num=176: train_lossf=6.2656, dt=0.567s, mfu=30.30%, tokens_per_sec=867,274
iter_num=177: train_lossf=6.4777, dt=0.618s, mfu=30.18%, tokens_per_sec=795,739
iter_num=178: train_lossf=6.5338, dt=0.571s, mfu=30.31%, tokens_per_sec=860,193
iter_num=179: train_lossf=6.1877, dt=0.558s, mfu=30.50%, tokens_per_sec=880,973
iter_num=180: train_lossf=6.4881, dt=0.572s, mfu=30.59%, tokens_per_sec=859,053
iter_num=181: train_lossf=6.2738, dt=0.575s, mfu=30.66%, tokens_per_sec=855,102
iter_num=182: train_lossf=6.3758, dt=0.725s, mfu=30.08%, tokens_per_sec=677,808
iter_num=183: train_lossf=6.8200, dt=0.569s, mfu=30.23%, tokens_per_sec=863,652
iter_num=184: train_lossf=6.2782, dt=0.562s, mfu=30.40%, tokens_per_sec=874,552
iter_num=185: train_lossf=6.2578, dt=0.565s, mfu=30.55%, tokens_per_sec=870,589
iter_num=186: train_lossf=6.5796, dt=0.576s, mfu=30.61%, tokens_per_sec=852,737
iter_num=187: train_lossf=6.4563, dt=0.589s, mfu=30.61%, tokens_per_sec=835,037
iter_num=188: train_lossf=6.2420, dt=0.573s, mfu=30.69%, tokens_per_sec=858,438
iter_num=189: train_lossf=6.5614, dt=0.768s, mfu=29.96%, tokens_per_sec=639,603
iter_num=190: train_lossf=6.3853, dt=0.697s, mfu=29.54%, tokens_per_sec=704,761
iter_num=191: train_lossf=6.7546, dt=0.565s, mfu=29.77%, tokens_per_sec=870,649
iter_num=192: train_lossf=6.4490, dt=0.572s, mfu=29.94%, tokens_per_sec=859,858
iter_num=193: train_lossf=6.2219, dt=0.566s, mfu=30.12%, tokens_per_sec=867,740
iter_num=194: train_lossf=6.1508, dt=0.588s, mfu=30.17%, tokens_per_sec=836,034
iter_num=195: train_lossf=6.1217, dt=0.570s, mfu=30.31%, tokens_per_sec=861,935
iter_num=196: train_lossf=6.2587, dt=0.646s, mfu=30.06%, tokens_per_sec=760,389
iter_num=197: train_lossf=6.2651, dt=0.581s, mfu=30.15%, tokens_per_sec=846,578
iter_num=198: train_lossf=6.2771, dt=0.884s, mfu=29.17%, tokens_per_sec=556,306
iter_num=199: train_lossf=6.1707, dt=0.584s, mfu=29.33%, tokens_per_sec=841,988
iter_num=200: train_lossf=6.2252, dt=0.580s, mfu=29.50%, tokens_per_sec=848,133
iter_num=201: train_lossf=6.2362, dt=0.806s, mfu=28.78%, tokens_per_sec=609,454
iter_num=202: train_lossf=6.1358, dt=0.723s, mfu=28.39%, tokens_per_sec=679,562
iter_num=203: train_lossf=6.3458, dt=0.567s, mfu=28.72%, tokens_per_sec=866,846
iter_num=204: train_lossf=6.1601, dt=0.704s, mfu=28.40%, tokens_per_sec=698,014
iter_num=205: train_lossf=6.3271, dt=0.583s, mfu=28.65%, tokens_per_sec=843,787
iter_num=206: train_lossf=6.1307, dt=0.563s, mfu=28.98%, tokens_per_sec=873,042
iter_num=207: train_lossf=6.0751, dt=0.570s, mfu=29.24%, tokens_per_sec=862,601
iter_num=208: train_lossf=6.2481, dt=0.561s, mfu=29.52%, tokens_per_sec=875,886
iter_num=209: train_lossf=6.0240, dt=0.573s, mfu=29.71%, tokens_per_sec=857,848
iter_num=210: train_lossf=6.3254, dt=0.578s, mfu=29.85%, tokens_per_sec=850,319
iter_num=211: train_lossf=6.3420, dt=0.580s, mfu=29.96%, tokens_per_sec=847,744
iter_num=212: train_lossf=6.3247, dt=0.572s, mfu=30.11%, tokens_per_sec=859,248
iter_num=213: train_lossf=6.2978, dt=0.572s, mfu=30.24%, tokens_per_sec=858,962
iter_num=214: train_lossf=6.2132, dt=0.717s, mfu=29.73%, tokens_per_sec=685,750
iter_num=215: train_lossf=6.2545, dt=0.578s, mfu=29.86%, tokens_per_sec=849,666
iter_num=216: train_lossf=6.3095, dt=0.591s, mfu=29.92%, tokens_per_sec=831,071
iter_num=217: train_lossf=6.2071, dt=0.582s, mfu=30.02%, tokens_per_sec=844,845
iter_num=218: train_lossf=6.2435, dt=0.571s, mfu=30.16%, tokens_per_sec=860,513
